---STARTING WITH PAIR
Testrun 0

gen	ms	perc	best
4400	25431	23	[0, 2, 3, 35, 21, 146, 194, 176, 123, 28, 38, 96, 118, 128, 169]... => 172032.7058211831
4500	25803	23	[0, 2, 3, 35, 17, 124, 183, 22, 144, 26, 21, 146, 194, 176, 123]... => 171454.00688442893
4600	26183	23	[0, 6, 7, 3, 4, 2, 13, 5, 20, 15, 59, 54, 49, 42, 31]... => 170192.9674204102
4700	26594	23	[0, 6, 7, 3, 4, 2, 13, 5, 20, 15, 59, 54, 49, 42, 31]... => 170192.9674204102
4800	26955	23	[0, 6, 7, 3, 4, 2, 13, 5, 20, 15, 59, 54, 49, 42, 31]... => 170192.9674204102
4900	27355	23	[0, 6, 7, 3, 4, 2, 13, 5, 20, 15, 59, 54, 49, 42, 31]... => 170167.5606213954
5000	27731	23	[0, 2, 3, 127, 8, 56, 73, 60, 62, 107, 200, 160, 173, 170, 163]... => 169590.86186378007
5100	28126	23	[0, 2, 3, 127, 8, 56, 73, 60, 62, 107, 200, 160, 173, 170, 163]... => 169424.0037020386
5200	28484	23	[0, 2, 3, 127, 8, 56, 73, 60, 62, 107, 200, 160, 173, 170, 163]... => 169424.0037020386
5300	28846	23	[0, 2, 3, 127, 8, 56, 73, 60, 62, 107, 200, 160, 173, 170, 163]... => 169010.33303160488
5400	29231	23	[0, 2, 3, 127, 8, 56, 73, 60, 62, 33, 107, 119, 27, 48, 59]... => 168351.7598563074
5500	29612	23	[0, 13, 12, 7, 98, 178, 192, 172, 10, 22, 18, 4, 2, 45, 162]... => 168023.03857846666
5600	29975	23	[0, 13, 12, 7, 98, 178, 192, 172, 10, 22, 18, 4, 2, 45, 162]... => 167173.5677784356
5700	30382	24	[0, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48, 89, 169]... => 164507.41116963432
5800	30738	24	[0, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48, 89, 169]... => 163049.53758080318
5900	31153	24	[0, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48, 89, 169]... => 162346.35202127366
6000	31585	24	[0, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48, 89, 169]... => 162346.35202127366
6100	31949	24	[0, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48, 89, 169]... => 160628.70778094133
6200	32336	24	[0, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48, 89, 169]... => 160628.70778094133
6300	32696	24	[0, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48, 89, 169]... => 160449.55109888557
6400	33053	25	[0, 14, 68, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48]... => 159646.9359547689
6500	33438	25	[0, 14, 68, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48]... => 159517.866527034
6600	33793	25	[0, 14, 68, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48]... => 159517.866527034
6700	34166	25	[0, 14, 68, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94, 48]... => 159517.866527034
6800	34582	25	[0, 10, 14, 68, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94]... => 159416.44487808482
6900	34933	25	[0, 10, 14, 68, 29, 13, 12, 7, 98, 23, 164, 26, 43, 42, 94]... => 159416.44487808482
7000	35305	25	[0, 29, 105, 61, 10, 14, 68, 13, 12, 7, 98, 23, 164, 26, 43]... => 158983.84764735057
7100	35680	25	[0, 29, 105, 61, 10, 14, 68, 13, 12, 7, 98, 23, 164, 26, 43]... => 158319.5487511521
7200	36040	25	[0, 29, 105, 61, 10, 14, 68, 13, 12, 7, 98, 23, 164, 26, 43]... => 158319.5487511521
7300	36429	25	[0, 29, 105, 61, 10, 14, 68, 13, 12, 7, 98, 23, 164, 26, 43]... => 158319.5487511521
7400	36787	25	[0, 29, 105, 61, 10, 14, 68, 13, 12, 7, 98, 23, 3, 5, 25]... => 157823.41783067767
7500	37141	25	[0, 29, 105, 61, 10, 14, 68, 13, 12, 7, 98, 23, 3, 5, 25]... => 157823.41783067767
7600	37528	25	[0, 29, 105, 61, 10, 14, 68, 13, 12, 7, 98, 23, 3, 5, 25]... => 156714.24151988712
7700	37889	25	[0, 29, 125, 142, 25, 5, 3, 23, 98, 7, 12, 13, 68, 14, 10]... => 155660.2167291913
7800	38284	25	[0, 29, 125, 142, 25, 5, 3, 23, 98, 7, 12, 13, 68, 14, 10]... => 155336.4862360813
7900	38668	25	[0, 1, 29, 125, 142, 25, 5, 3, 23, 98, 7, 12, 13, 68, 14]... => 154612.17887256
8000	39030	25	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 154607.97752147377
8100	39410	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 153838.850868973
8200	39777	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 153838.850868973
8300	40128	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 153838.50367796278
8400	40480	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 153838.50367796278
8500	40888	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 153838.50367796278
8600	41241	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 153838.50367796278
8700	41614	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 152753.65334569835
8800	42001	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 152753.65334569835
8900	42355	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 152524.02228547103
9000	42718	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 152524.02228547103
9100	43072	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 152524.02228547103
9200	43460	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 152524.02228547103
9300	43834	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 151868.40374740484
9400	44187	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 151644.68759640734
9500	44558	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 151197.64970716034
9600	44928	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 151046.78400236653
9700	45299	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 150795.73664795246
9800	45652	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 150795.73664795246
9900	46016	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 150462.8891690903
10000	46369	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 150462.8891690903
10100	46730	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 150170.82770355366
10200	47114	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 150170.82770355366
10300	47481	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 150170.82770355366
10400	47853	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 150170.82770355366
10500	48222	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 149904.23941907057
10600	48619	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 149359.27360929464
10700	48989	26	[0, 1, 29, 11, 27, 130, 173, 125, 142, 25, 5, 3, 23, 98, 7]... => 149359.27360929464
